PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,C,Q,S,Alone
1,0,3,1,22.0,1,0,7.25,False,False,True,0
2,1,1,0,38.0,1,0,71.2833,True,False,False,0
3,1,3,0,26.0,0,0,7.925,False,False,True,1
4,1,1,0,35.0,1,0,53.1,False,False,True,0
5,0,3,1,35.0,0,0,8.05,False,False,True,1
6,0,3,1,24.0,0,0,8.4583,False,True,False,1
7,0,1,1,54.0,0,0,51.8625,False,False,True,1
8,0,3,1,2.0,3,1,21.075,False,False,True,0
9,1,3,0,27.0,0,2,11.1333,False,False,True,0
10,1,2,0,14.0,1,0,30.0708,True,False,False,0
11,1,3,0,4.0,1,1,16.7,False,False,True,0
12,1,1,0,58.0,0,0,26.55,False,False,True,1
13,0,3,1,20.0,0,0,8.05,False,False,True,1
14,0,3,1,39.0,1,5,31.275,False,False,True,0
15,0,3,0,14.0,0,0,7.8542,False,False,True,1
16,1,2,0,55.0,0,0,16.0,False,False,True,1
17,0,3,1,2.0,4,1,29.125,False,True,False,0
18,1,2,1,29.0,0,0,13.0,False,False,True,1
19,0,3,0,31.0,1,0,18.0,False,False,True,0
20,1,3,0,24.0,0,0,7.225,True,False,False,1
21,0,2,1,35.0,0,0,26.0,False,False,True,1
22,1,2,1,34.0,0,0,13.0,False,False,True,1
23,1,3,0,15.0,0,0,8.0292,False,True,False,1
24,1,1,1,28.0,0,0,35.5,False,False,True,1
25,0,3,0,8.0,3,1,21.075,False,False,True,0
26,1,3,0,38.0,1,5,31.3875,False,False,True,0
27,0,3,1,24.0,0,0,7.225,True,False,False,1
28,0,1,1,19.0,3,2,263.0,False,False,True,0
29,1,3,0,24.0,0,0,7.8792,False,True,False,1
30,0,3,1,24.0,0,0,7.8958,False,False,True,1
31,0,1,1,40.0,0,0,27.7208,True,False,False,1
32,1,1,0,37.0,1,0,146.5208,True,False,False,0
33,1,3,0,24.0,0,0,7.75,False,True,False,1
34,0,2,1,66.0,0,0,10.5,False,False,True,1
35,0,1,1,28.0,1,0,82.1708,True,False,False,0
36,0,1,1,42.0,1,0,52.0,False,False,True,0
37,1,3,1,24.0,0,0,7.2292,True,False,False,1
38,0,3,1,21.0,0,0,8.05,False,False,True,1
39,0,3,0,18.0,2,0,18.0,False,False,True,0
40,1,3,0,14.0,1,0,11.2417,True,False,False,0
41,0,3,0,40.0,1,0,9.475,False,False,True,0
42,0,2,0,27.0,1,0,21.0,False,False,True,0
43,0,3,1,24.0,0,0,7.8958,True,False,False,1
44,1,2,0,3.0,1,2,41.5792,True,False,False,0
45,1,3,0,19.0,0,0,7.8792,False,True,False,1
46,0,3,1,24.0,0,0,8.05,False,False,True,1
47,0,3,1,24.0,1,0,15.5,False,True,False,0
48,1,3,0,24.0,0,0,7.75,False,True,False,1
49,0,3,1,24.0,2,0,21.6792,True,False,False,0
50,0,3,0,18.0,1,0,17.8,False,False,True,0
51,0,3,1,7.0,4,1,39.6875,False,False,True,0
52,0,3,1,21.0,0,0,7.8,False,False,True,1
53,1,1,0,49.0,1,0,76.7292,True,False,False,0
54,1,2,0,29.0,1,0,26.0,False,False,True,0
55,0,1,1,65.0,0,1,61.9792,True,False,False,0
56,1,1,1,37.0,0,0,35.5,False,False,True,1
57,1,2,0,21.0,0,0,10.5,False,False,True,1
58,0,3,1,28.5,0,0,7.2292,True,False,False,1
59,1,2,0,5.0,1,2,27.75,False,False,True,0
60,0,3,1,11.0,5,2,46.9,False,False,True,0
61,0,3,1,22.0,0,0,7.2292,True,False,False,1
62,1,1,0,38.0,0,0,80.0,False,False,True,1
63,0,1,1,45.0,1,0,83.475,False,False,True,0
64,0,3,1,4.0,3,2,27.9,False,False,True,0
65,0,1,1,37.0,0,0,27.7208,True,False,False,1
66,1,3,1,24.0,1,1,15.2458,True,False,False,0
67,1,2,0,29.0,0,0,10.5,False,False,True,1
68,0,3,1,19.0,0,0,8.1583,False,False,True,1
69,1,3,0,17.0,4,2,7.925,False,False,True,0
70,0,3,1,26.0,2,0,8.6625,False,False,True,0
71,0,2,1,32.0,0,0,10.5,False,False,True,1
72,0,3,0,16.0,5,2,46.9,False,False,True,0
73,0,2,1,21.0,0,0,73.5,False,False,True,1
74,0,3,1,26.0,1,0,14.4542,True,False,False,0
75,1,3,1,32.0,0,0,56.4958,False,False,True,1
76,0,3,1,25.0,0,0,7.65,False,False,True,1
77,0,3,1,24.0,0,0,7.8958,False,False,True,1
78,0,3,1,24.0,0,0,8.05,False,False,True,1
79,1,2,1,0.83,0,2,29.0,False,False,True,0
80,1,3,0,30.0,0,0,12.475,False,False,True,1
81,0,3,1,22.0,0,0,9.0,False,False,True,1
82,1,3,1,29.0,0,0,9.5,False,False,True,1
83,1,3,0,24.0,0,0,7.7875,False,True,False,1
84,0,1,1,28.0,0,0,47.1,False,False,True,1
85,1,2,0,17.0,0,0,10.5,False,False,True,1
86,1,3,0,33.0,3,0,15.85,False,False,True,0
87,0,3,1,16.0,1,3,34.375,False,False,True,0
88,0,3,1,24.0,0,0,8.05,False,False,True,1
89,1,1,0,23.0,3,2,263.0,False,False,True,0
90,0,3,1,24.0,0,0,8.05,False,False,True,1
91,0,3,1,29.0,0,0,8.05,False,False,True,1
92,0,3,1,20.0,0,0,7.8542,False,False,True,1
93,0,1,1,46.0,1,0,61.175,False,False,True,0
94,0,3,1,26.0,1,2,20.575,False,False,True,0
95,0,3,1,59.0,0,0,7.25,False,False,True,1
96,0,3,1,24.0,0,0,8.05,False,False,True,1
97,0,1,1,71.0,0,0,34.6542,True,False,False,1
98,1,1,1,23.0,0,1,63.3583,True,False,False,0
99,1,2,0,34.0,0,1,23.0,False,False,True,0
100,0,2,1,34.0,1,0,26.0,False,False,True,0
101,0,3,0,28.0,0,0,7.8958,False,False,True,1
102,0,3,1,24.0,0,0,7.8958,False,False,True,1
103,0,1,1,21.0,0,1,77.2875,False,False,True,0
104,0,3,1,33.0,0,0,8.6542,False,False,True,1
105,0,3,1,37.0,2,0,7.925,False,False,True,0
106,0,3,1,28.0,0,0,7.8958,False,False,True,1
107,1,3,0,21.0,0,0,7.65,False,False,True,1
108,1,3,1,24.0,0,0,7.775,False,False,True,1
109,0,3,1,38.0,0,0,7.8958,False,False,True,1
110,1,3,0,24.0,1,0,24.15,False,True,False,0
111,0,1,1,47.0,0,0,52.0,False,False,True,1
112,0,3,0,14.5,1,0,14.4542,True,False,False,0
113,0,3,1,22.0,0,0,8.05,False,False,True,1
114,0,3,0,20.0,1,0,9.825,False,False,True,0
115,0,3,0,17.0,0,0,14.4583,True,False,False,1
116,0,3,1,21.0,0,0,7.925,False,False,True,1
117,0,3,1,70.5,0,0,7.75,False,True,False,1
118,0,2,1,29.0,1,0,21.0,False,False,True,0
119,0,1,1,24.0,0,1,247.5208,True,False,False,0
120,0,3,0,2.0,4,2,31.275,False,False,True,0
121,0,2,1,21.0,2,0,73.5,False,False,True,0
122,0,3,1,24.0,0,0,8.05,False,False,True,1
123,0,2,1,32.5,1,0,30.0708,True,False,False,0
124,1,2,0,32.5,0,0,13.0,False,False,True,1
125,0,1,1,54.0,0,1,77.2875,False,False,True,0
126,1,3,1,12.0,1,0,11.2417,True,False,False,0
127,0,3,1,24.0,0,0,7.75,False,True,False,1
128,1,3,1,24.0,0,0,7.1417,False,False,True,1
129,1,3,0,24.0,1,1,22.3583,True,False,False,0
130,0,3,1,45.0,0,0,6.975,False,False,True,1
131,0,3,1,33.0,0,0,7.8958,True,False,False,1
132,0,3,1,20.0,0,0,7.05,False,False,True,1
133,0,3,0,47.0,1,0,14.5,False,False,True,0
134,1,2,0,29.0,1,0,26.0,False,False,True,0
135,0,2,1,25.0,0,0,13.0,False,False,True,1
136,0,2,1,23.0,0,0,15.0458,True,False,False,1
137,1,1,0,19.0,0,2,26.2833,False,False,True,0
138,0,1,1,37.0,1,0,53.1,False,False,True,0
139,0,3,1,16.0,0,0,9.2167,False,False,True,1
140,0,1,1,24.0,0,0,79.2,True,False,False,1
141,0,3,0,24.0,0,2,15.2458,True,False,False,0
142,1,3,0,22.0,0,0,7.75,False,False,True,1
143,1,3,0,24.0,1,0,15.85,False,False,True,0
144,0,3,1,19.0,0,0,6.75,False,True,False,1
145,0,2,1,18.0,0,0,11.5,False,False,True,1
146,0,2,1,19.0,1,1,36.75,False,False,True,0
147,1,3,1,27.0,0,0,7.7958,False,False,True,1
148,0,3,0,9.0,2,2,34.375,False,False,True,0
149,0,2,1,36.5,0,2,26.0,False,False,True,0
150,0,2,1,42.0,0,0,13.0,False,False,True,1
151,0,2,1,51.0,0,0,12.525,False,False,True,1
152,1,1,0,22.0,1,0,66.6,False,False,True,0
153,0,3,1,55.5,0,0,8.05,False,False,True,1
154,0,3,1,40.5,0,2,14.5,False,False,True,0
155,0,3,1,24.0,0,0,7.3125,False,False,True,1
156,0,1,1,51.0,0,1,61.3792,True,False,False,0
157,1,3,0,16.0,0,0,7.7333,False,True,False,1
158,0,3,1,30.0,0,0,8.05,False,False,True,1
159,0,3,1,24.0,0,0,8.6625,False,False,True,1
160,0,3,1,24.0,8,2,69.55,False,False,True,0
161,0,3,1,44.0,0,1,16.1,False,False,True,0
162,1,2,0,40.0,0,0,15.75,False,False,True,1
163,0,3,1,26.0,0,0,7.775,False,False,True,1
164,0,3,1,17.0,0,0,8.6625,False,False,True,1
165,0,3,1,1.0,4,1,39.6875,False,False,True,0
166,1,3,1,9.0,0,2,20.525,False,False,True,0
167,1,1,0,37.0,0,1,55.0,False,False,True,0
168,0,3,0,45.0,1,4,27.9,False,False,True,0
169,0,1,1,37.0,0,0,25.925,False,False,True,1
170,0,3,1,28.0,0,0,56.4958,False,False,True,1
171,0,1,1,61.0,0,0,33.5,False,False,True,1
172,0,3,1,4.0,4,1,29.125,False,True,False,0
173,1,3,0,1.0,1,1,11.1333,False,False,True,0
174,0,3,1,21.0,0,0,7.925,False,False,True,1
175,0,1,1,56.0,0,0,30.6958,True,False,False,1
176,0,3,1,18.0,1,1,7.8542,False,False,True,0
177,0,3,1,24.0,3,1,25.4667,False,False,True,0
178,0,1,0,50.0,0,0,28.7125,True,False,False,1
179,0,2,1,30.0,0,0,13.0,False,False,True,1
180,0,3,1,36.0,0,0,0.0,False,False,True,1
181,0,3,0,24.0,8,2,69.55,False,False,True,0
182,0,2,1,29.0,0,0,15.05,True,False,False,1
183,0,3,1,9.0,4,2,31.3875,False,False,True,0
184,1,2,1,1.0,2,1,39.0,False,False,True,0
185,1,3,0,4.0,0,2,22.025,False,False,True,0
186,0,1,1,37.0,0,0,50.0,False,False,True,1
187,1,3,0,24.0,1,0,15.5,False,True,False,0
188,1,1,1,45.0,0,0,26.55,False,False,True,1
189,0,3,1,40.0,1,1,15.5,False,True,False,0
190,0,3,1,36.0,0,0,7.8958,False,False,True,1
191,1,2,0,32.0,0,0,13.0,False,False,True,1
192,0,2,1,19.0,0,0,13.0,False,False,True,1
193,1,3,0,19.0,1,0,7.8542,False,False,True,0
194,1,2,1,3.0,1,1,26.0,False,False,True,0
195,1,1,0,44.0,0,0,27.7208,True,False,False,1
196,1,1,0,58.0,0,0,146.5208,True,False,False,1
197,0,3,1,24.0,0,0,7.75,False,True,False,1
198,0,3,1,42.0,0,1,8.4042,False,False,True,0
199,1,3,0,24.0,0,0,7.75,False,True,False,1
200,0,2,0,24.0,0,0,13.0,False,False,True,1
201,0,3,1,28.0,0,0,9.5,False,False,True,1
202,0,3,1,24.0,8,2,69.55,False,False,True,0
203,0,3,1,34.0,0,0,6.4958,False,False,True,1
204,0,3,1,45.5,0,0,7.225,True,False,False,1
205,1,3,1,18.0,0,0,8.05,False,False,True,1
206,0,3,0,2.0,0,1,10.4625,False,False,True,0
207,0,3,1,32.0,1,0,15.85,False,False,True,0
208,1,3,1,26.0,0,0,18.7875,True,False,False,1
209,1,3,0,16.0,0,0,7.75,False,True,False,1
210,1,1,1,40.0,0,0,31.0,True,False,False,1
211,0,3,1,24.0,0,0,7.05,False,False,True,1
212,1,2,0,35.0,0,0,21.0,False,False,True,1
213,0,3,1,22.0,0,0,7.25,False,False,True,1
214,0,2,1,30.0,0,0,13.0,False,False,True,1
215,0,3,1,24.0,1,0,7.75,False,True,False,0
216,1,1,0,31.0,1,0,113.275,True,False,False,0
217,1,3,0,27.0,0,0,7.925,False,False,True,1
218,0,2,1,42.0,1,0,27.0,False,False,True,0
219,1,1,0,32.0,0,0,76.2917,True,False,False,1
220,0,2,1,30.0,0,0,10.5,False,False,True,1
221,1,3,1,16.0,0,0,8.05,False,False,True,1
222,0,2,1,27.0,0,0,13.0,False,False,True,1
223,0,3,1,51.0,0,0,8.05,False,False,True,1
224,0,3,1,24.0,0,0,7.8958,False,False,True,1
225,1,1,1,38.0,1,0,90.0,False,False,True,0
226,0,3,1,22.0,0,0,9.35,False,False,True,1
227,1,2,1,19.0,0,0,10.5,False,False,True,1
228,0,3,1,20.5,0,0,7.25,False,False,True,1
229,0,2,1,18.0,0,0,13.0,False,False,True,1
230,0,3,0,24.0,3,1,25.4667,False,False,True,0
231,1,1,0,35.0,1,0,83.475,False,False,True,0
232,0,3,1,29.0,0,0,7.775,False,False,True,1
233,0,2,1,59.0,0,0,13.5,False,False,True,1
234,1,3,0,5.0,4,2,31.3875,False,False,True,0
235,0,2,1,24.0,0,0,10.5,False,False,True,1
236,0,3,0,24.0,0,0,7.55,False,False,True,1
237,0,2,1,44.0,1,0,26.0,False,False,True,0
238,1,2,0,8.0,0,2,26.25,False,False,True,0
239,0,2,1,19.0,0,0,10.5,False,False,True,1
240,0,2,1,33.0,0,0,12.275,False,False,True,1
241,0,3,0,24.0,1,0,14.4542,True,False,False,0
242,1,3,0,24.0,1,0,15.5,False,True,False,0
243,0,2,1,29.0,0,0,10.5,False,False,True,1
244,0,3,1,22.0,0,0,7.125,False,False,True,1
245,0,3,1,30.0,0,0,7.225,True,False,False,1
246,0,1,1,44.0,2,0,90.0,False,True,False,0
247,0,3,0,25.0,0,0,7.775,False,False,True,1
248,1,2,0,24.0,0,2,14.5,False,False,True,0
249,1,1,1,37.0,1,1,52.5542,False,False,True,0
250,0,2,1,54.0,1,0,26.0,False,False,True,0
251,0,3,1,24.0,0,0,7.25,False,False,True,1
252,0,3,0,29.0,1,1,10.4625,False,False,True,0
253,0,1,1,62.0,0,0,26.55,False,False,True,1
254,0,3,1,30.0,1,0,16.1,False,False,True,0
255,0,3,0,41.0,0,2,20.2125,False,False,True,0
256,1,3,0,29.0,0,2,15.2458,True,False,False,0
257,1,1,0,37.0,0,0,79.2,True,False,False,1
258,1,1,0,30.0,0,0,86.5,False,False,True,1
259,1,1,0,35.0,0,0,512.3292,True,False,False,1
260,1,2,0,50.0,0,1,26.0,False,False,True,0
261,0,3,1,24.0,0,0,7.75,False,True,False,1
262,1,3,1,3.0,4,2,31.3875,False,False,True,0
263,0,1,1,52.0,1,1,79.65,False,False,True,0
264,0,1,1,40.0,0,0,0.0,False,False,True,1
265,0,3,0,24.0,0,0,7.75,False,True,False,1
266,0,2,1,36.0,0,0,10.5,False,False,True,1
267,0,3,1,16.0,4,1,39.6875,False,False,True,0
268,1,3,1,25.0,1,0,7.775,False,False,True,0
269,1,1,0,58.0,0,1,153.4625,False,False,True,0
270,1,1,0,35.0,0,0,135.6333,False,False,True,1
271,0,1,1,37.0,0,0,31.0,False,False,True,1
272,1,3,1,25.0,0,0,0.0,False,False,True,1
273,1,2,0,41.0,0,1,19.5,False,False,True,0
274,0,1,1,37.0,0,1,29.7,True,False,False,0
275,1,3,0,24.0,0,0,7.75,False,True,False,1
276,1,1,0,63.0,1,0,77.9583,False,False,True,0
277,0,3,0,45.0,0,0,7.75,False,False,True,1
278,0,2,1,29.0,0,0,0.0,False,False,True,1
279,0,3,1,7.0,4,1,29.125,False,True,False,0
280,1,3,0,35.0,1,1,20.25,False,False,True,0
281,0,3,1,65.0,0,0,7.75,False,True,False,1
282,0,3,1,28.0,0,0,7.8542,False,False,True,1
283,0,3,1,16.0,0,0,9.5,False,False,True,1
284,1,3,1,19.0,0,0,8.05,False,False,True,1
285,0,1,1,37.0,0,0,26.0,False,False,True,1
286,0,3,1,33.0,0,0,8.6625,True,False,False,1
287,1,3,1,30.0,0,0,9.5,False,False,True,1
288,0,3,1,22.0,0,0,7.8958,False,False,True,1
289,1,2,1,42.0,0,0,13.0,False,False,True,1
290,1,3,0,22.0,0,0,7.75,False,True,False,1
291,1,1,0,26.0,0,0,78.85,False,False,True,1
292,1,1,0,19.0,1,0,91.0792,True,False,False,0
293,0,2,1,36.0,0,0,12.875,True,False,False,1
294,0,3,0,24.0,0,0,8.85,False,False,True,1
295,0,3,1,24.0,0,0,7.8958,False,False,True,1
296,0,1,1,37.0,0,0,27.7208,True,False,False,1
297,0,3,1,23.5,0,0,7.2292,True,False,False,1
298,0,1,0,2.0,1,2,151.55,False,False,True,0
299,1,1,1,37.0,0,0,30.5,False,False,True,1
300,1,1,0,50.0,0,1,247.5208,True,False,False,0
301,1,3,0,24.0,0,0,7.75,False,True,False,1
302,1,3,1,24.0,2,0,23.25,False,True,False,0
303,0,3,1,19.0,0,0,0.0,False,False,True,1
304,1,2,0,29.0,0,0,12.35,False,True,False,1
305,0,3,1,24.0,0,0,8.05,False,False,True,1
306,1,1,1,0.92,1,2,151.55,False,False,True,0
307,1,1,0,37.0,0,0,110.8833,True,False,False,1
308,1,1,0,17.0,1,0,108.9,True,False,False,0
309,0,2,1,30.0,1,0,24.0,True,False,False,0
310,1,1,0,30.0,0,0,56.9292,True,False,False,1
311,1,1,0,24.0,0,0,83.1583,True,False,False,1
312,1,1,0,18.0,2,2,262.375,True,False,False,0
313,0,2,0,26.0,1,1,26.0,False,False,True,0
314,0,3,1,28.0,0,0,7.8958,False,False,True,1
315,0,2,1,43.0,1,1,26.25,False,False,True,0
316,1,3,0,26.0,0,0,7.8542,False,False,True,1
317,1,2,0,24.0,1,0,26.0,False,False,True,0
318,0,2,1,54.0,0,0,14.0,False,False,True,1
319,1,1,0,31.0,0,2,164.8667,False,False,True,0
320,1,1,0,40.0,1,1,134.5,True,False,False,0
321,0,3,1,22.0,0,0,7.25,False,False,True,1
322,0,3,1,27.0,0,0,7.8958,False,False,True,1
323,1,2,0,30.0,0,0,12.35,False,True,False,1
324,1,2,0,22.0,1,1,29.0,False,False,True,0
325,0,3,1,24.0,8,2,69.55,False,False,True,0
326,1,1,0,36.0,0,0,135.6333,True,False,False,1
327,0,3,1,61.0,0,0,6.2375,False,False,True,1
328,1,2,0,36.0,0,0,13.0,False,False,True,1
329,1,3,0,31.0,1,1,20.525,False,False,True,0
330,1,1,0,16.0,0,1,57.9792,True,False,False,0
331,1,3,0,24.0,2,0,23.25,False,True,False,0
332,0,1,1,45.5,0,0,28.5,False,False,True,1
333,0,1,1,38.0,0,1,153.4625,False,False,True,0
334,0,3,1,16.0,2,0,18.0,False,False,True,0
335,1,1,0,37.0,1,0,133.65,False,False,True,0
336,0,3,1,24.0,0,0,7.8958,False,False,True,1
337,0,1,1,29.0,1,0,66.6,False,False,True,0
338,1,1,0,41.0,0,0,134.5,True,False,False,1
339,1,3,1,45.0,0,0,8.05,False,False,True,1
340,0,1,1,45.0,0,0,35.5,False,False,True,1
341,1,2,1,2.0,1,1,26.0,False,False,True,0
342,1,1,0,24.0,3,2,263.0,False,False,True,0
343,0,2,1,28.0,0,0,13.0,False,False,True,1
344,0,2,1,25.0,0,0,13.0,False,False,True,1
345,0,2,1,36.0,0,0,13.0,False,False,True,1
346,1,2,0,24.0,0,0,13.0,False,False,True,1
347,1,2,0,40.0,0,0,13.0,False,False,True,1
348,1,3,0,24.0,1,0,16.1,False,False,True,0
349,1,3,1,3.0,1,1,15.9,False,False,True,0
350,0,3,1,42.0,0,0,8.6625,False,False,True,1
351,0,3,1,23.0,0,0,9.225,False,False,True,1
352,0,1,1,37.0,0,0,35.0,False,False,True,1
353,0,3,1,15.0,1,1,7.2292,True,False,False,0
354,0,3,1,25.0,1,0,17.8,False,False,True,0
355,0,3,1,24.0,0,0,7.225,True,False,False,1
356,0,3,1,28.0,0,0,9.5,False,False,True,1
357,1,1,0,22.0,0,1,55.0,False,False,True,0
358,0,2,0,38.0,0,0,13.0,False,False,True,1
359,1,3,0,24.0,0,0,7.8792,False,True,False,1
360,1,3,0,24.0,0,0,7.8792,False,True,False,1
361,0,3,1,40.0,1,4,27.9,False,False,True,0
362,0,2,1,29.0,1,0,27.7208,True,False,False,0
363,0,3,0,45.0,0,1,14.4542,True,False,False,0
364,0,3,1,35.0,0,0,7.05,False,False,True,1
365,0,3,1,24.0,1,0,15.5,False,True,False,0
366,0,3,1,30.0,0,0,7.25,False,False,True,1
367,1,1,0,60.0,1,0,75.25,True,False,False,0
368,1,3,0,24.0,0,0,7.2292,True,False,False,1
369,1,3,0,24.0,0,0,7.75,False,True,False,1
370,1,1,0,24.0,0,0,69.3,True,False,False,1
371,1,1,1,25.0,1,0,55.4417,True,False,False,0
372,0,3,1,18.0,1,0,6.4958,False,False,True,0
373,0,3,1,19.0,0,0,8.05,False,False,True,1
374,0,1,1,22.0,0,0,135.6333,True,False,False,1
375,0,3,0,3.0,3,1,21.075,False,False,True,0
376,1,1,0,37.0,1,0,82.1708,True,False,False,0
377,1,3,0,22.0,0,0,7.25,False,False,True,1
378,0,1,1,27.0,0,2,211.5,True,False,False,0
379,0,3,1,20.0,0,0,4.0125,True,False,False,1
380,0,3,1,19.0,0,0,7.775,False,False,True,1
381,1,1,0,42.0,0,0,227.525,True,False,False,1
382,1,3,0,1.0,0,2,15.7417,True,False,False,0
383,0,3,1,32.0,0,0,7.925,False,False,True,1
384,1,1,0,35.0,1,0,52.0,False,False,True,0
385,0,3,1,24.0,0,0,7.8958,False,False,True,1
386,0,2,1,18.0,0,0,73.5,False,False,True,1
387,0,3,1,1.0,5,2,46.9,False,False,True,0
388,1,2,0,36.0,0,0,13.0,False,False,True,1
389,0,3,1,24.0,0,0,7.7292,False,True,False,1
390,1,2,0,17.0,0,0,12.0,True,False,False,1
391,1,1,1,36.0,1,2,120.0,False,False,True,0
392,1,3,1,21.0,0,0,7.7958,False,False,True,1
393,0,3,1,28.0,2,0,7.925,False,False,True,0
394,1,1,0,23.0,1,0,113.275,True,False,False,0
395,1,3,0,24.0,0,2,16.7,False,False,True,0
396,0,3,1,22.0,0,0,7.7958,False,False,True,1
397,0,3,0,31.0,0,0,7.8542,False,False,True,1
398,0,2,1,46.0,0,0,26.0,False,False,True,1
399,0,2,1,23.0,0,0,10.5,False,False,True,1
400,1,2,0,28.0,0,0,12.65,False,False,True,1
401,1,3,1,39.0,0,0,7.925,False,False,True,1
402,0,3,1,26.0,0,0,8.05,False,False,True,1
403,0,3,0,21.0,1,0,9.825,False,False,True,0
404,0,3,1,28.0,1,0,15.85,False,False,True,0
405,0,3,0,20.0,0,0,8.6625,False,False,True,1
406,0,2,1,34.0,1,0,21.0,False,False,True,0
407,0,3,1,51.0,0,0,7.75,False,False,True,1
408,1,2,1,3.0,1,1,18.75,False,False,True,0
409,0,3,1,21.0,0,0,7.775,False,False,True,1
410,0,3,0,24.0,3,1,25.4667,False,False,True,0
411,0,3,1,24.0,0,0,7.8958,False,False,True,1
412,0,3,1,24.0,0,0,6.8583,False,True,False,1
413,1,1,0,33.0,1,0,90.0,False,True,False,0
414,0,2,1,29.0,0,0,0.0,False,False,True,1
415,1,3,1,44.0,0,0,7.925,False,False,True,1
416,0,3,0,24.0,0,0,8.05,False,False,True,1
417,1,2,0,34.0,1,1,32.5,False,False,True,0
418,1,2,0,18.0,0,2,13.0,False,False,True,0
419,0,2,1,30.0,0,0,13.0,False,False,True,1
420,0,3,0,10.0,0,2,24.15,False,False,True,0
421,0,3,1,24.0,0,0,7.8958,True,False,False,1
422,0,3,1,21.0,0,0,7.7333,False,True,False,1
423,0,3,1,29.0,0,0,7.875,False,False,True,1
424,0,3,0,28.0,1,1,14.4,False,False,True,0
425,0,3,1,18.0,1,1,20.2125,False,False,True,0
426,0,3,1,24.0,0,0,7.25,False,False,True,1
427,1,2,0,28.0,1,0,26.0,False,False,True,0
428,1,2,0,19.0,0,0,26.0,False,False,True,1
429,0,3,1,24.0,0,0,7.75,False,True,False,1
430,1,3,1,32.0,0,0,8.05,False,False,True,1
431,1,1,1,28.0,0,0,26.55,False,False,True,1
432,1,3,0,24.0,1,0,16.1,False,False,True,0
433,1,2,0,42.0,1,0,26.0,False,False,True,0
434,0,3,1,17.0,0,0,7.125,False,False,True,1
435,0,1,1,50.0,1,0,55.9,False,False,True,0
436,1,1,0,14.0,1,2,120.0,False,False,True,0
437,0,3,0,21.0,2,2,34.375,False,False,True,0
438,1,2,0,24.0,2,3,18.75,False,False,True,0
439,0,1,1,64.0,1,4,263.0,False,False,True,0
440,0,2,1,31.0,0,0,10.5,False,False,True,1
441,1,2,0,45.0,1,1,26.25,False,False,True,0
442,0,3,1,20.0,0,0,9.5,False,False,True,1
443,0,3,1,25.0,1,0,7.775,False,False,True,0
444,1,2,0,28.0,0,0,13.0,False,False,True,1
445,1,3,1,24.0,0,0,8.1125,False,False,True,1
446,1,1,1,4.0,0,2,81.8583,False,False,True,0
